0_Absolute energy,0_Area under the curve,0_Autocorrelation,0_Centroid,0_Entropy,0_Mean absolute diff,0_Mean diff,0_Median absolute diff,0_Median diff,0_Negative turning points,0_Neighbourhood peaks,0_Peak to peak distance,0_Positive turning points,0_Signal distance,0_Slope,0_Sum absolute diff,0_Total energy,0_Zero crossing rate,0_Absolute energy,0_Area under the curve,0_Autocorrelation,0_Centroid,0_Entropy,0_Mean absolute diff,0_Mean diff,0_Median absolute diff,0_Median diff,0_Negative turning points,0_Neighbourhood peaks,0_Peak to peak distance,0_Positive turning points,0_Signal distance,0_Slope,0_Sum absolute diff,0_Total energy,0_Zero crossing rate,0_Absolute energy,0_Area under the curve,0_Autocorrelation,0_Centroid,0_Entropy,0_Mean absolute diff,0_Mean diff,0_Median absolute diff,0_Median diff,0_Negative turning points,0_Neighbourhood peaks,0_Peak to peak distance,0_Positive turning points,0_Signal distance,0_Slope,0_Sum absolute diff,0_Total energy,0_Zero crossing rate,0_Absolute energy,0_Area under the curve,0_Autocorrelation,0_Centroid,0_Entropy,0_Mean absolute diff,0_Mean diff,0_Median absolute diff,0_Median diff,0_Negative turning points,0_Neighbourhood peaks,0_Peak to peak distance,0_Positive turning points,0_Signal distance,0_Slope,0_Sum absolute diff,0_Total energy,0_Zero crossing rate,0_Absolute energy,0_Area under the curve,0_Autocorrelation,0_Centroid,0_Entropy,0_Mean absolute diff,0_Mean diff,0_Median absolute diff,0_Median diff,0_Negative turning points,0_Neighbourhood peaks,0_Peak to peak distance,0_Positive turning points,0_Signal distance,0_Slope,0_Sum absolute diff,0_Total energy,0_Zero crossing rate,0_Absolute energy,0_Area under the curve,0_Autocorrelation,0_Centroid,0_Entropy,0_Mean absolute diff,0_Mean diff,0_Median absolute diff,0_Median diff,0_Negative turning points,0_Neighbourhood peaks,0_Peak to peak distance,0_Positive turning points,0_Signal distance,0_Slope,0_Sum absolute diff,0_Total energy,0_Zero crossing rate,out
142365.0174,286.2876499999992,142365.01739999876,148.38089665512877,0.536766194500483,0.06839138777766939,6.179464663219134e-06,0.0,0.0,121.0,40.0,83.03999999999999,117.0,31719.25767120255,2.2572962303522853e-06,2102.8300000000004,463.02083910625424,2281.0,113396.10969999999,212.39075000000003,113396.10970000015,110.8856560354028,0.5015288738185765,0.04769148209581424,-4.228054769570937e-06,0.0,0.0,122.0,54.0,64.15,127.0,31253.549453686242,-1.8163190963350082e-06,1466.3700000000003,368.80381728298687,2089.0,268072.1986,325.5109999999995,268072.19860000326,148.10383685291265,0.5305398536280171,0.09100139851042378,1.2358929326438406e-05,0.0,0.0,100.0,33.0,142.49,79.0,32349.452486216614,1.5915246311396363e-07,2798.02,871.864567600091,2403.0,20562.033900000002,130.4725,20562.033899999995,165.62129611900892,0.4575763236946217,0.013304712654893162,9.10657950369137e-06,0.0,0.0,44.0,45.0,16.73,78.0,30790.091115943047,1.320295116243281e-05,409.08000000000004,66.87492730998146,644.0,41070.262599999995,175.10070000000002,41070.26260000001,128.65508017650222,0.4825456974310848,0.022277295345887405,-5.203759716395105e-06,0.0,0.0,58.0,34.0,23.68,48.0,30847.01102731255,3.2684307731537386e-06,684.96,133.57486128728004,514.0,11087.531300000002,74.69909999999997,11087.531300000015,142.59274835255704,0.39973489996623507,0.008694181546167105,5.2037597163951875e-06,0.0,0.0,30.0,12.0,16.58,26.0,30772.740381893625,1.9596464667769516e-06,267.32,36.060530458256096,422.0,1
200857.13789999997,472.5964000000002,200857.13790000006,150.24347562958081,0.6081928929374909,0.07256579165149458,-1.8537521930550132e-05,0.0,0.0,3.0,1.0,46.44,3.0,30850.713498603967,-1.0007872805610434e-05,2192.14,664.8917140587242,748.0,223006.9229,463.67580000000004,223006.92289999974,150.23857895190486,0.5848080751875341,0.07533251679962925,-2.6482174186499366e-06,0.0,0.0,4.0,4.0,43.39,7.0,30919.5968369698,-4.468123487269827e-07,2275.7200000000003,738.2135221291669,1013.0,414325.47810000007,650.8056000000014,414325.4781000003,163.4530451053524,0.6254376361833142,0.11775695984640339,3.376477208778851e-05,0.0,0.0,5.0,0.0,115.92,2.0,31818.255442765127,1.4656005398776176e-06,3557.3199999999997,1371.5299351186736,795.0,58920.24309999999,260.77655,58920.243099999956,155.380998479621,0.5361838687755439,0.022444635704591345,4.303353305306333e-06,0.0,0.0,131.0,30.0,11.04,125.0,30243.945291146432,4.562296596336464e-06,678.03,195.04201761064581,816.0,49048.896700000005,220.05900000000005,49048.896700000194,108.3427456270999,0.5392396017471099,0.031088086331887848,2.648217418650209e-06,0.0,0.0,160.0,65.0,18.35,166.0,30274.822951751696,-1.1308551643329418e-05,939.14,162.36517825813502,730.0,24573.121400000004,154.59259999999998,24573.121399999964,135.22142729083657,0.4883194590216887,0.013090138700387301,-1.0592869674600226e-05,0.0,0.0,145.0,32.0,10.02,133.0,30221.612916603106,-2.2787380148099794e-06,395.44,81.34371015260355,839.0,1
17428.5243,104.19660000000002,17428.524299999997,60.685033633857316,0.605716805596342,0.061698825791389134,2.334683787681112e-05,0.0,0.0,136.0,76.0,16.43,142.0,14694.140859552283,1.021587037194173e-05,898.52,119.6767444894596,433.0,13013.8007,100.39155000000001,13013.8007,64.14506589016689,0.6090453025641304,0.05102726086657969,6.180045320332263e-06,0.0,0.0,131.0,43.0,10.61,114.0,14656.258747839018,-1.1624493955205735e-05,743.11,89.36208679530317,342.0,16681.6121,105.97255000000006,16681.612100000002,58.13331918202319,0.6100760365467593,0.05226189658724163,2.266016617455199e-05,0.0,0.0,155.0,70.0,14.879999999999999,144.0,14668.30015737965,-1.303528258504144e-05,761.0899999999999,114.54790977133831,354.0,5702.5258,61.922799999999995,5702.525799999999,68.34941523333397,0.5573268549056409,0.00787475108150793,-5.493373618073235e-06,0.0,0.0,19.0,9.0,5.23,15.0,14565.27707303393,2.276955006869931e-05,114.67999999999999,39.15763098262721,170.0,2260.3272,31.7573,2260.3272000000006,47.1684094201052,0.48401745362738074,0.013026162191856074,1.648012085421962e-05,0.0,0.0,39.0,20.0,5.03,27.0,14570.295818034621,9.333821755538874e-06,189.7,15.521027260866582,425.0,702.1722,22.5173,702.1721999999997,58.98658402169725,0.454979717965904,0.006545354665934216,6.866717022591503e-06,0.0,0.0,11.0,12.0,2.4699999999999998,18.0,14564.629231443036,-8.298996619064169e-07,95.32,4.821617798530522,289.0,1
143933.2155,492.42679999999996,143933.2155000007,355.42715430531035,0.4885148296272483,0.03647992787558539,4.257343918259086e-06,0.0,0.0,325.0,138.0,69.05,338.0,80584.52302374144,4.2831289573310333e-07,2913.3600000000006,180.2274116601137,4203.0,146080.7635,452.92090000000064,146080.7635000007,355.7155531055531,0.4740062700246812,0.036349202374095314,-1.2521599759585074e-06,0.0,0.0,279.0,106.0,57.6,302.0,80579.1911708003,-7.951994494461654e-07,2902.92,182.91648531216347,4591.0,202715.90409999999,584.4647499999998,202715.90409999795,356.5702091171445,0.5038924160070075,0.046872980892038764,1.1895519771606003e-05,0.0,0.0,231.0,95.0,62.980000000000004,227.0,80925.66939823776,5.634170261985503e-07,3743.37,253.83274160426734,3758.0,42723.823399999994,323.9301499999999,42723.82339999998,390.12728933408164,0.4508156612890752,0.010754676817510207,2.879967944704561e-06,0.0,0.0,92.0,24.0,14.489999999999998,77.0,79904.60089718933,-1.1350751267357073e-06,858.8900000000001,53.49706168140041,1128.0,80604.73350000002,498.95315000000033,80604.73350000037,402.08879213779664,0.4913734902121374,0.020062232350805138,-3.756479927876131e-07,0.0,0.0,112.0,77.0,16.060000000000002,88.0,79969.33632287073,1.7995304002403884e-06,1602.21,100.93002116150362,977.0,23659.720800000003,193.0236,23659.720800000043,481.88087133242914,0.39835164475118906,0.006171145225514013,4.006911923067299e-06,0.0,0.0,174.0,33.0,12.17,170.0,79885.73134701108,2.1047340730958195e-06,492.8400000000001,29.6257554281135,1309.0,1
29660.629200000003,142.08075000000002,29660.629199999992,87.71356793166072,0.6115488569830403,0.07582196231319038,1.594896331738424e-05,0.0,0.0,152.0,77.0,25.68,151.0,17173.43949949065,-1.1166573984833223e-05,1283.59,175.20603225234808,494.0,20165.4927,130.86645,20165.492699999995,80.1927845174346,0.6118424849148875,0.06400082698328312,-2.421879614862081e-05,0.0,0.0,129.0,69.0,13.79,131.0,17093.756291537826,-2.1733878611711728e-08,1083.47,119.11803827751196,455.0,20699.7324,128.74999999999997,20699.732400000008,81.4843098330102,0.6080906308561664,0.060327249099178935,6.37958532695377e-05,0.0,0.0,195.0,71.0,16.88,182.0,17097.716052692398,8.752074003276906e-06,1021.2800000000002,122.27380471380472,435.0,6415.1311,65.22195,6415.131100000005,76.51033027540156,0.5373375116427239,0.009155295646523716,1.3586153937031172e-05,0.0,0.0,17.0,15.0,6.359999999999999,19.0,16932.699384653693,-1.1972879949281761e-05,154.98999999999998,37.8943298481895,255.0,2815.1407,41.43630000000002,2815.1407,90.04615079843076,0.4915266349445096,0.016689704058125112,-1.1814046901766473e-06,0.0,0.0,41.0,32.0,5.43,42.0,16943.641676663432,6.830568541467469e-06,282.54,16.629102132435467,443.0,750.0088000000001,24.689050000000016,750.0088,93.1772986503625,0.44324632920828405,0.00838265697914821,1.0041939866501296e-05,0.0,0.0,19.0,22.0,2.12,27.0,16932.71792833799,-4.184387112065618e-07,141.91000000000003,4.4303195699686935,483.0,1
296524.4195,724.7685999999994,296524.41950000037,205.1650291761586,0.6080236424428365,0.06566262343869775,-5.861929025566976e-06,0.0,0.0,29.0,12.0,36.9,22.0,45089.30623695932,-8.081788800556003e-07,2912.4,668.5404236371015,888.0,255781.2986,586.8657,255781.29860000047,194.85541572095997,0.5771840707565623,0.06143391802317716,4.5091761735119394e-07,0.0,0.0,20.0,8.0,62.93,15.0,45151.346749424,-6.293159290317135e-07,2724.8399999999997,576.6814686386797,1306.0,427505.94619999995,830.1685500000008,427505.94620000006,213.13332166326725,0.6172568372237265,0.09495535915588223,-9.694728773053232e-06,0.0,0.0,17.0,11.0,98.58000000000001,18.0,46001.28616812029,-3.778562657378074e-06,4211.650000000001,963.8498133201063,899.0,44470.9337,292.63045,44470.9336999999,218.70985826124,0.5160598689244715,0.015930693962213107,-2.480046895432124e-06,0.0,0.0,159.0,55.0,10.0,170.0,44382.20072978864,7.512035808284768e-06,706.5900000000001,100.26363732696036,973.0,88043.1786,414.71055000000007,88043.17859999994,209.67401267096008,0.5592791890855888,0.025850881543941925,1.1272940433781806e-06,0.009999999999999787,0.0,177.0,72.0,13.190000000000001,200.0,44423.3813081638,-1.1044068543293503e-05,1146.5900000000001,198.50110159173917,850.0,18108.0186,177.8698,18108.018599999974,198.24199703185636,0.4786140064905473,0.01029219461604365,9.018352347026044e-07,0.0,0.0,161.0,49.0,7.94,183.0,44364.10229777448,4.207921669269458e-06,456.5,40.82612301032601,1018.0,1
20721.68954639598,51.893788809208594,20721.689546395977,23.973862125992564,0.7096007452549856,0.4341912698454357,-9.966115208292658e-06,0.15999999999999998,0.0,551.0,182.0,47.07,547.0,6070.7055174854995,4.503015212534526e-05,2178.337600814551,413.0294906596767,639.0,39419.76339781326,65.74716469393815,39419.76339781328,23.89000564778683,0.7190993242166198,0.5324532570393645,5.381702212477541e-05,0.18,0.0,561.0,182.0,73.28,546.0,6436.554687495979,-1.7650308399132206e-05,2671.317990566492,785.7238070124229,791.0,38637.48388682917,74.58508868500431,38637.483886829184,21.312046338727225,0.7471466272209342,0.5672980602181525,2.9898345624877087e-05,0.20000000000000007,0.0,542.0,152.0,62.62,544.0,6562.920204507301,3.769773074272586e-05,2846.1343681144713,770.1312315493157,555.0,7605.346864354382,39.95294192039965,7605.346864354384,25.17400792583661,0.6825353926681115,0.1362749882240516,-2.5911899541559035e-05,0.05999999999999983,0.0,290.0,115.0,10.52,301.0,5177.620963934103,2.9566284821994905e-05,683.6916159200669,151.59152609835323,367.0,11322.7602,44.736149999999974,11322.7602,22.32512908513244,0.697541049318283,0.25190950767390874,1.395256129160881e-05,0.09000000000000008,0.0,322.0,144.0,26.97,344.0,5472.9340917509035,-0.0001433961179116938,1263.8300000000002,225.6878652581224,487.0,3054.4015627723843,22.597437720578192,3054.4015627723857,27.882345663497002,0.6122777059969737,0.09365020563316959,1.1959338249949815e-05,0.03999999999999998,0.0,319.0,118.0,10.54,321.0,5107.7061050249695,0.00010445896547787927,469.8430816616118,60.881035733952245,459.0,1
17494.1594,51.748049999999964,17494.159399999997,18.665934521152238,0.7221064453728152,0.4255950378469302,-0.0001661059714045435,0.1700000000000001,0.0,517.0,178.0,37.68,513.0,5654.854179336309,5.447242171287917e-05,2024.13,367.83346089150547,548.0,30467.113685034143,63.95964691839822,30467.11368503414,17.45158471068229,0.7332638182279834,0.558448275862069,5.046257359125385e-05,0.19999999999999996,0.0,536.0,183.0,56.92999999999999,533.0,6161.565357826009,1.810433164569285e-05,2655.98,640.6037360183798,691.0,29174.46635776703,71.93332442619803,29174.46635776703,19.287302268244638,0.7594693510456871,0.5712699747687132,0.0004962153069806607,0.24,-0.010000000000000002,542.0,148.0,36.97,544.0,6138.237988789354,2.770962991089872e-07,2716.96,613.4244398184825,545.0,7476.468800000001,39.22430000000003,7476.468800000001,20.840027728999555,0.6892979285921073,0.13797308662741797,-2.523128679562562e-05,0.06999999999999999,0.0,314.0,115.0,13.24,297.0,4878.780273643712,4.477154754470343e-05,656.1999999999999,157.20077375946173,390.0,8587.2307,41.690349999999995,8587.2307,21.23583022347356,0.7053615168615297,0.23593145500420523,-0.00011984861227922577,0.11999999999999988,0.0,357.0,153.0,14.739999999999998,350.0,5073.551945683379,-0.0001231643471471352,1122.0900000000001,180.5557338099243,473.0,3336.7717,23.726,3336.771700000002,24.689230559285797,0.6327699623520163,0.09720773759461733,4.205214465938233e-06,0.040000000000000036,0.0,316.0,100.0,14.14,325.0,4839.030093272422,0.00011830875317813296,462.32,70.1592031118587,435.0,1
107843.64110000001,482.75559999999996,107843.64109999985,302.5363848930727,0.501122666631583,0.02872896910370144,3.8237993270112955e-06,0.0,0.0,236.0,82.0,24.97,233.0,78788.9422765374,-1.2029430621057314e-06,2253.96,137.4574807535434,1790.0,88940.06859999998,389.6517500000002,88940.06859999998,219.60330137081775,0.47763338638821795,0.025974176608544917,2.676659528907948e-06,0.0,0.0,285.0,78.0,38.09,266.0,78770.26679148873,1.7852349361686512e-06,2037.83,113.36299148567349,2071.0,213768.8461,608.6723999999992,213768.84609999944,251.61901924943788,0.5125138184237068,0.032339655348220656,1.2236157846436139e-05,0.0,0.0,210.0,47.0,34.83,185.0,79077.87638743762,2.7961988507232063e-06,2537.24,272.4697232843887,1491.0,35192.43460000001,269.599,35192.43459999995,324.90608163451685,0.441886052682663,0.008612725604160295,-5.098399102681876e-07,0.0,0.0,99.0,35.0,9.21,93.0,78477.62372186806,2.477379211049309e-06,675.72,44.85626924645663,1485.0,56930.74079999999,383.3373,56930.74079999995,351.80234951525534,0.4801293581535947,0.015034669113898235,-4.843479147547679e-06,0.0,0.0,115.0,67.0,14.73,96.0,78526.88954090589,-6.300774078669229e-07,1179.56,72.56390945243193,1429.0,9581.467700000001,119.87135000000002,9581.467699999974,322.5069996786608,0.36625122553582273,0.00424887835219741,-3.82379932701129e-07,0.0,0.0,76.0,27.0,8.129999999999999,95.0,78462.88338658387,1.012439352450101e-06,333.35,12.212536581013564,1663.0,0
107843.64110000001,482.75559999999996,107843.64109999985,302.5363848930727,0.501122666631583,0.02872896910370144,3.8237993270112955e-06,0.0,0.0,236.0,82.0,24.97,233.0,78788.9422765374,-1.2029430621057314e-06,2253.96,137.4574807535434,1790.0,88940.06859999998,389.6517500000002,88940.06859999998,219.60330137081775,0.47763338638821795,0.025974176608544917,2.676659528907948e-06,0.0,0.0,285.0,78.0,38.09,266.0,78770.26679148873,1.7852349361686512e-06,2037.83,113.36299148567349,2071.0,213768.8461,608.6723999999992,213768.84609999944,251.61901924943788,0.5125138184237068,0.032339655348220656,1.2236157846436139e-05,0.0,0.0,210.0,47.0,34.83,185.0,79077.87638743762,2.7961988507232063e-06,2537.24,272.4697232843887,1491.0,35192.43460000001,269.599,35192.43459999995,324.90608163451685,0.441886052682663,0.008612725604160295,-5.098399102681876e-07,0.0,0.0,99.0,35.0,9.21,93.0,78477.62372186806,2.477379211049309e-06,675.72,44.85626924645663,1485.0,56930.74079999999,383.3373,56930.74079999995,351.80234951525534,0.4801293581535947,0.015034669113898235,-4.843479147547679e-06,0.0,0.0,115.0,67.0,14.73,96.0,78526.88954090589,-6.300774078669229e-07,1179.56,72.56390945243193,1429.0,9581.467700000001,119.87135000000002,9581.467699999974,322.5069996786608,0.36625122553582273,0.00424887835219741,-3.82379932701129e-07,0.0,0.0,76.0,27.0,8.129999999999999,95.0,78462.88338658387,1.012439352450101e-06,333.35,12.212536581013564,1663.0,0
